File, Hyper-heuristic
0.bpp, 3.9333
100.bpp, 0.3333
104.bpp, 30.0000
11.bpp, 2.2500
110.bpp, 0.1282
117.bpp, 0.4516
119.bpp, 2.7500
135.bpp, 5.2222
14.bpp, 5.9375
141.bpp, 6.7500
143.bpp, 8.4667
145.bpp, 13.2500
151.bpp, 2.0000
168.bpp, 3.7000
17.bpp, 3.0000
173.bpp, 4.0000
178.bpp, 1.8462
179.bpp, 0.5294
18.bpp, 3.4286
184.bpp, 0.7250
194.bpp, 7.0000
197.bpp, 5.7917
202.bpp, 0.1081
208.bpp, 11.9000
210.bpp, 12.0000
215.bpp, 2.4000
223.bpp, 1.8000
226.bpp, 7.9286
229.bpp, 1.2667
233.bpp, 8.0909
237.bpp, 11.3333
239.bpp, 0.8182
240.bpp, 2.8000
244.bpp, 0.4667
246.bpp, 4.5263
255.bpp, 6.0909
256.bpp, 5.0556
261.bpp, 1.2000
262.bpp, 1.1053
264.bpp, 4.2143
292.bpp, 0.0500
294.bpp, 3.4667
307.bpp, 10.0714
31.bpp, 6.3929
310.bpp, 0.6316
311.bpp, 6.3333
317.bpp, 0.4483
326.bpp, 3.8889
327.bpp, 4.4706
330.bpp, 1.1000
332.bpp, 25.5000
337.bpp, 10.0833
348.bpp, 0.8750
357.bpp, 11.0000
358.bpp, 5.3333
359.bpp, 2.0800
36.bpp, 18.0000
363.bpp, 13.6000
366.bpp, 2.4000
368.bpp, 7.3333
380.bpp, 28.0000
385.bpp, 0.9412
394.bpp, 2.9091
401.bpp, 4.8000
409.bpp, 0.6429
41.bpp, 7.2222
410.bpp, 4.6000
433.bpp, 1.3158
438.bpp, 5.1333
441.bpp, 1.8571
443.bpp, 11.0000
447.bpp, 3.8571
449.bpp, 0.3333
452.bpp, 12.2727
47.bpp, 1.2778
470.bpp, 5.2800
473.bpp, 5.0526
478.bpp, 1.0357
483.bpp, 2.0435
484.bpp, 0.8966
488.bpp, 2.0000
489.bpp, 1.9615
492.bpp, 5.7059
5.bpp, 4.9615
50.bpp, 11.5833
55.bpp, 6.8000
58.bpp, 3.5556
59.bpp, 3.1364
6.bpp, 4.2500
63.bpp, 8.1667
7.bpp, 3.0000
71.bpp, 0.2857
72.bpp, 1.5000
78.bpp, 6.9000
80.bpp, 5.7895
81.bpp, 3.0000
83.bpp, 3.0000
87.bpp, 2.9091
97.bpp, 2.0588
99.bpp, 4.4091
