File, Hyper-heuristic
0.bpp, 2.8571
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 1.3448
110.bpp, 0.0270
117.bpp, 0.1786
119.bpp, 1.3333
135.bpp, 3.6400
14.bpp, 4.6000
141.bpp, 9.2000
143.bpp, 8.4667
145.bpp, 13.2500
151.bpp, 4.5000
168.bpp, 1.8077
17.bpp, 1.7619
173.bpp, 5.4167
178.bpp, 0.9091
179.bpp, 0.3125
18.bpp, 2.1667
184.bpp, 0.2571
194.bpp, 8.1000
197.bpp, 6.6000
202.bpp, 0.0000
208.bpp, 11.9000
210.bpp, 12.0000
215.bpp, 1.6667
223.bpp, 1.5172
226.bpp, 7.9286
229.bpp, 0.6429
233.bpp, 8.0909
237.bpp, 16.0000
239.bpp, 0.4000
240.bpp, 1.6667
244.bpp, 0.3103
246.bpp, 5.4500
255.bpp, 7.0833
256.bpp, 5.0556
261.bpp, 0.3478
262.bpp, 0.6111
264.bpp, 5.8000
292.bpp, 0.0500
294.bpp, 3.4667
307.bpp, 10.0714
31.bpp, 7.0690
310.bpp, 0.3889
311.bpp, 7.4286
317.bpp, 0.4483
326.bpp, 2.3750
327.bpp, 4.4706
330.bpp, 0.4118
332.bpp, 25.5000
337.bpp, 10.0833
348.bpp, 0.6957
357.bpp, 11.5000
358.bpp, 5.3333
359.bpp, 1.2174
36.bpp, 20.0000
363.bpp, 13.6000
366.bpp, 2.4000
368.bpp, 7.3333
380.bpp, 28.0000
385.bpp, 0.5625
394.bpp, 2.1000
401.bpp, 5.6190
409.bpp, 0.3077
41.bpp, 7.2222
410.bpp, 6.6667
433.bpp, 1.3158
438.bpp, 6.5000
441.bpp, 1.1500
443.bpp, 11.0000
447.bpp, 2.3333
449.bpp, 0.3333
452.bpp, 12.2727
47.bpp, 0.5882
470.bpp, 5.2800
473.bpp, 5.0526
478.bpp, 0.5769
483.bpp, 1.5455
484.bpp, 0.5185
488.bpp, 5.6000
489.bpp, 1.0435
492.bpp, 4.6250
5.bpp, 5.8148
50.bpp, 10.1818
55.bpp, 6.8000
58.bpp, 4.7000
59.bpp, 2.0500
6.bpp, 1.3000
63.bpp, 10.0000
7.bpp, 6.3333
71.bpp, 0.0769
72.bpp, 0.7273
78.bpp, 8.4545
80.bpp, 5.7895
81.bpp, 3.0000
83.bpp, 3.0000
87.bpp, 1.1111
97.bpp, 1.5625
99.bpp, 5.7083
