File, Hyper-heuristic
0.bpp, 3.9333
100.bpp, 3.0000
104.bpp, 30.0000
11.bpp, 2.2500
110.bpp, 0.0270
117.bpp, 0.1786
119.bpp, 3.6000
135.bpp, 5.2222
14.bpp, 5.9375
141.bpp, 9.2000
143.bpp, 8.4667
145.bpp, 13.2500
151.bpp, 4.5000
168.bpp, 3.7000
17.bpp, 2.4091
173.bpp, 5.4167
178.bpp, 2.2143
179.bpp, 0.5294
18.bpp, 3.9333
184.bpp, 0.3611
194.bpp, 8.1000
197.bpp, 6.6000
202.bpp, 0.0000
208.bpp, 11.9000
210.bpp, 12.0000
215.bpp, 3.0000
223.bpp, 2.0645
226.bpp, 7.9286
229.bpp, 1.8125
233.bpp, 8.0909
237.bpp, 16.0000
239.bpp, 0.4000
240.bpp, 3.7273
244.bpp, 0.3103
246.bpp, 5.4500
255.bpp, 7.0833
256.bpp, 5.0556
261.bpp, 1.9259
262.bpp, 1.9524
264.bpp, 5.8000
292.bpp, 0.0500
294.bpp, 4.3125
307.bpp, 10.0714
31.bpp, 7.0690
310.bpp, 0.3889
311.bpp, 7.4286
317.bpp, 0.4483
326.bpp, 4.5263
327.bpp, 5.4444
330.bpp, 1.2857
332.bpp, 25.5000
337.bpp, 10.0833
348.bpp, 0.8750
357.bpp, 11.5000
358.bpp, 5.3333
359.bpp, 2.4615
36.bpp, 20.0000
363.bpp, 13.6000
366.bpp, 3.3333
368.bpp, 7.3333
380.bpp, 28.0000
385.bpp, 1.5789
394.bpp, 3.5833
401.bpp, 5.6190
409.bpp, 0.4815
41.bpp, 7.2222
410.bpp, 6.6667
433.bpp, 1.6500
438.bpp, 6.5000
441.bpp, 3.0870
443.bpp, 11.0000
447.bpp, 5.0000
449.bpp, 0.7500
452.bpp, 12.2727
47.bpp, 1.8947
470.bpp, 5.2800
473.bpp, 5.0526
478.bpp, 0.8148
483.bpp, 2.5000
484.bpp, 0.7143
488.bpp, 5.6000
489.bpp, 2.2222
492.bpp, 5.7059
5.bpp, 5.8148
50.bpp, 10.1818
55.bpp, 6.8000
58.bpp, 4.7000
59.bpp, 3.6087
6.bpp, 2.9091
63.bpp, 10.0000
7.bpp, 6.3333
71.bpp, 0.1852
72.bpp, 2.1538
78.bpp, 8.4545
80.bpp, 5.7895
81.bpp, 3.7692
83.bpp, 3.5000
87.bpp, 3.5833
97.bpp, 2.5000
99.bpp, 5.7083
